package_name,download_count
opentelemetry-exporter-otlp-proto-grpc,9672410
pytest-runner,9505829
shapely,9442111
PySocks,9431882
opentelemetry-exporter-otlp-proto-http,9403245
azure-common,9373174
humanfriendly,9371069
torch,9366273
jsonpatch,9344603
rfc3339-validator,9294396
google-cloud-secret-manager,9191029
jupyterlab,9164258
requests-file,9148185
opentelemetry-exporter-otlp,9131920
email-validator,9125307
google-cloud-pubsub,9119624
mysql-connector-python,9118518
selenium,9108566
pbr,9069519
requests-mock,9059748
apache-airflow,9050788
nbformat,8972987
pytest-xdist,8968985
nbconvert,8953404
comm,8931770
sympy,8892798
pg8000,8890374
mdit-py-plugins,8876307
bleach,8849919
structlog,8773729
opentelemetry-exporter-otlp-proto-common,8764404
simplejson,8720033
toolz,8719854
pyright,8719664
absl-py,8683914
slack-sdk,8680154
nbclient,8587612
xlrd,8561341
readme-renderer,8495262
pytest-asyncio,8443715
twine,8435633
trio,8416823
pyspark,8402320
execnet,8389707
snowflake-sqlalchemy,8375585
jupyter-server,8374844
typeguard,8317675
Flask-WTF,8284300
tinycss2,8282133
mistune,8275418
opensearch-py,8262847
lz4,8202087
Flask-Caching,8123021
python-multipart,8112408
dataclasses-json,8084993
inflection,8078789
text-unidecode,8072602
oscrypto,8059726
nh3,8056285
pkgutil-resolve-name,8051621
uvloop,8034297
outcome,7979285
cattrs,7958537
semver,7869969
connexion,7860263
google-pasta,7856823
notebook,7786789
imageio,7700168
httptools,7665221
pyodbc,7603853
XlsxWriter,7582512
db-dtypes,7553738
aenum,7542338
jupyterlab-server,7493288
mpmath,7436556
schema,7354412
google-cloud-aiplatform,7334299
pyproject-api,7328403
watchfiles,7312086
python-daemon,7310275
argon2-cffi,7309904
apache-airflow-providers-common-sql,7297071
progressbar2,7288260
docopt,7275533
altair,7268235
xgboost,7158954
langchain,7108768
nltk,7068820
jiter,7034697
coloredlogs,7032498
ujson,6994351
overrides,6956339
argon2-cffi-bindings,6926692
prettytable,6910766
lockfile,6903874
tb-nightly,6887413
jupyterlab-pygments,6861737
json5,6820400
google-cloud-appengine-logging,6805554
types-PyYAML,6804455
pyserial,6799863
ipywidgets,6790285
pandocfilters,6773235
azure-storage-file-datalake,6715178
trio-websocket,6711902
pathos,6685046
Flask-SQLAlchemy,6680210
python-utils,6624950
tensorboard,6624333
